TimerName,TimerColour,Alert,Vibration,IntervalShuffle,ReactionSessionRound,ReactionSessionRoundHundredths,ReactionIntervalDurationMin,ReactionIntervalDurationMinHundredths,ReactionIntervalDurationMax,ReactionIntervalDurationMaxHundredths,RestBetweenIntervalsMin,RestBetweenIntervalsMinHundredths,RestBetweenIntervalsMax,RestBetweenIntervalsMaxHundredths,NumberOfRounds,RestBetweenRoundsMin,RestBetweenRoundsMinHundredths,RestBetweenRoundsMax,RestBetweenRoundsMaxHundredths,CallName,CallColour,ReactionMaxNumberOfCalls,CallDurationMin,CallDurationMinHundredths,CallDurationMax,CallDurationMaxHundredths,HalfWayAlert,MessageText,MessageDelay,MessageDelayHundredths
Legs Refresh (Stretch),#64379C,"Two Short, One Long Beep",,FALSE,,,,,,,,,,,1,,,,,"Foam Roll Glute, Hamstring, IT Band, Quad (L)",#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Foam Roll Glute, Hamstring, IT Band, Quad (R)",#B38B73,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Front-to-Back Leg Swings (L),#49148B,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Front-to-Back Leg Swings (R),#49148B,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,"Seated Hip Rotations (""windscreen wipers"")",#148B76,,0:01:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:30,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Half Kneeling Hip Flexor Stretch (L),#1886EC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Half Kneeling Hip Flexor Stretch (R),#1886EC,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Single Leg Hamstring Stretch (L),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Seated Single Leg Hamstring Stretch (R),#73A5B3,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lying Glute Stretch (ankle over opposite knee) (L),#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Lying Glute Stretch (R),#C07872,,0:02:00,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:15,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Calf Stretch (L),#FFD6BD,,0:00:20,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Switch,#DBDBDB,,0:00:05,,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,Calf Stretch (R),#FFD6BD,,0:00:20,,,,FALSE,,,
